source,package_count,packages,single_or_multi,source_name_values,version_values,cpe_id_values,cpe_id_package_count,cpe_id_consistency,product_candidate_count,direct_product_candidate_count,possible_product_candidate_count,partial_component_count,non_product_count,ambiguous_count,unresolved_count,role_distribution,main_package_candidate,has_main_product_like_package,has_library_split,has_utility_split,has_plugin_module_split,has_kernel_package,is_vendor_specific,source_structure_summary
package/teltonika/mctl,3,libmctl | mctl | modem_trackd,MULTI_PACKAGE_SOURCE,libmctl | mctl | modem_trackd,4.10,,0,NO_CPE_ID,1,0,1,2,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 2}",,False,True,True,False,False,True,3 installed packages; library=1; utility=2
package/teltonika/mdcollect,2,libmdcollect | mdcollectd,MULTI_PACKAGE_SOURCE,libmdcollect | mdcollectd,2024-12-02-2,,0,NO_CPE_ID,0,0,0,2,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""SPLIT_RUNTIME_PACKAGE"": 1}",,False,True,False,False,False,True,2 installed packages; library=1
package/teltonika/mnfinfo,3,libmnfinfo | mnfinfo | rpcd-mod-mnfinfo,MULTI_PACKAGE_SOURCE,libmnfinfo | mnfinfo | rpcd-mod-mnfinfo,2.25.1,,0,NO_CPE_ID,1,0,1,2,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""PLUGIN_OR_MODULE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,True,False,True,3 installed packages; library=1; utility=1; plugin/module=1
package/teltonika/mobifd,1,mobifd,SINGLE_PACKAGE_SOURCE,mobifd,ab396378,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",mobifd,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/mobutils,3,mobutils | mobutils-call_utilities | mobutils-sms_utilities,MULTI_PACKAGE_SOURCE,mobutils | mobutils-call_utilities | mobutils-sms_utilities,3.14,,0,NO_CPE_ID,0,0,0,2,1,0,0,"{""META_OR_HELPER_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 2}",,False,False,True,False,False,True,3 installed packages; utility=2; meta/helper=1
package/teltonika/modbus_client,1,modbus_client,SINGLE_PACKAGE_SOURCE,modbus_client,2025-02-20,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",modbus_client,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/modbus_server,1,modbus_server,SINGLE_PACKAGE_SOURCE,modbus_server,2025-02-20-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",modbus_server,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/modbusgwd,1,modbusgwd,SINGLE_PACKAGE_SOURCE,modbusgwd,2025-02-20,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",modbusgwd,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/modem_control,1,modem_control,SINGLE_PACKAGE_SOURCE,modem_control,2025-02-20,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",modem_control,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/mqtt-modbus-gateway,1,mqtt-modbus-gateway,SINGLE_PACKAGE_SOURCE,mqtt-modbus-gateway,2025-02-20,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",mqtt-modbus-gateway,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/multiple_ap,1,multiple_ap,SINGLE_PACKAGE_SOURCE,multiple_ap,2025-01-07-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",multiple_ap,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/ntpclient,1,ntpclient,SINGLE_PACKAGE_SOURCE,ntpclient,2023-04-26-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",ntpclient,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/opcua_client,1,opcua_client,SINGLE_PACKAGE_SOURCE,opcua_client,2025-02-20,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",opcua_client,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/opcua_server,1,opcua_server,SINGLE_PACKAGE_SOURCE,opcua_server,2025-02-20-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",opcua_server,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/package_restore,1,package_restore,SINGLE_PACKAGE_SOURCE,package_restore,2025-01-08-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",package_restore,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/pcom_master,1,pcom_master,SINGLE_PACKAGE_SOURCE,pcom_master,0.0.1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",pcom_master,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/port_eventsd,1,port_eventsd,SINGLE_PACKAGE_SOURCE,port_eventsd,1.12,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",port_eventsd,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/post_get,3,post-get | post-get-io | post-get-mobile,MULTI_PACKAGE_SOURCE,post-get | post-get-io | post-get-mobile,1.5,,0,NO_CPE_ID,1,0,1,2,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1, ""SPLIT_RUNTIME_PACKAGE"": 2}",post-get,True,False,False,False,False,True,3 installed packages; main/product-like=1
package/teltonika/profiler,1,profiler,SINGLE_PACKAGE_SOURCE,profiler,2.13.3,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",profiler,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/quectel/quectel_dfota,1,dfota,SINGLE_PACKAGE_SOURCE,dfota,2024-08-05-3,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""UTILITY_OR_CLI_PACKAGE"": 1}",,False,False,True,False,False,True,single installed package; utility=1
package/teltonika/quota_limit,1,quota_limit,SINGLE_PACKAGE_SOURCE,quota_limit,2025-02-13-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",quota_limit,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/reboot_utils,3,reboot_utils | reboot_utils-periodic | reboot_utils-ping,MULTI_PACKAGE_SOURCE,reboot_utils | reboot_utils-periodic | reboot_utils-ping,2025-03-05-1,,0,NO_CPE_ID,0,0,0,2,1,0,0,"{""META_OR_HELPER_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 2}",,False,False,True,False,False,True,3 installed packages; utility=2; meta/helper=1
package/teltonika/rms-packages,1,librms,SINGLE_PACKAGE_SOURCE,librms,2025-03-20-1,,0,NO_CPE_ID,0,0,0,0,0,1,0,"{""LIBRARY_PACKAGE"": 1}",,False,True,False,False,False,True,single installed package; library=1
package/teltonika/rut_fota,2,librut_fota | rut_fota,MULTI_PACKAGE_SOURCE,librut_fota | rut_fota,2.16.1,,0,NO_CPE_ID,1,0,1,1,0,0,0,"{""LIBRARY_PACKAGE"": 1, ""UTILITY_OR_CLI_PACKAGE"": 1}",,False,True,True,False,False,True,2 installed packages; library=1; utility=1
package/teltonika/serial,1,serial,SINGLE_PACKAGE_SOURCE,serial,2024-11-21,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",serial,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/shellinabox,1,shellinabox,SINGLE_PACKAGE_SOURCE,shellinabox,2025-02-17-4,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",shellinabox,True,False,False,False,False,True,single installed package; main/product-like=1
package/teltonika/sim_switch,1,sim_switch,SINGLE_PACKAGE_SOURCE,sim_switch,2025-02-21-1,,0,NO_CPE_ID,1,0,1,0,0,0,0,"{""PRODUCT_OR_MAIN_PACKAGE"": 1}",sim_switch,True,False,False,False,False,True,single installed package; main/product-like=1
