firmware_vendor,firmware_product,firmware_version,sbom_document_id,ground_truth_id,component_id,component_name,component_version,original_cpe,ground_truth_cpe,validation_result,cpe_present,actual_product,verified_software_version,version_verification_method,product_boundary,representative_status
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2553,198833,block-mount,2018-04-16-e2436836-1,cpe:2.3:a:block-mount:block-mount:2018-04-16-e2436836-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,fstools,2018-04-16-e2436836,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2554,198834,bmon,4.0-1,cpe:2.3:a:bmon:bmon:4.0-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,bmon,4.0,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2555,198835,bridge,1.5-5,cpe:2.3:a:bridge:bridge:1.5-5:*:*:*:*:*:*:*,cpe:2.3:a:kernel:bridge-utils:1.5:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,bridge-utils,1.5,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2556,198836,busybox,1.37.0-6,cpe:2.3:a:busybox:busybox:1.37.0-6:*:*:*:*:*:*:*,cpe:2.3:a:busybox:busybox:1.37.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,BusyBox,1.37.0,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2557,198837,ca-bundle,20180409,cpe:2.3:a:ca-bundle:ca-bundle:20180409:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,ca-bundle,20180409,NOT_REQUIRED_OR_BASE_ARTIFACT,HELPER_OR_CONFIG,198837
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2558,198838,ca-certificates,20180409,cpe:2.3:a:ca-certificates:ca-certificates:20180409:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,ca-certificates,20180409,NOT_REQUIRED_OR_BASE_ARTIFACT,HELPER_OR_CONFIG,198838
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2559,198839,collectd-lib-uci-lock,5.5.3-1,cpe:2.3:a:collectd-lib-uci-lock:collectd-lib-uci-lock:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2560,198840,collectd-mod-acksys-cellular,5.5.3-1,cpe:2.3:a:collectd-mod-acksys-cellular:collectd-mod-acksys-cellular:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2561,198841,collectd-mod-acksys-network,5.5.3-1,cpe:2.3:a:collectd-mod-acksys-network:collectd-mod-acksys-network:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2562,198842,collectd-mod-acksys-scan-result,5.5.3-1,cpe:2.3:a:collectd-mod-acksys-scan-result:collectd-mod-acksys-scan-result:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2563,198843,collectd-mod-acksys-system,5.5.3-1,cpe:2.3:a:collectd-mod-acksys-system:collectd-mod-acksys-system:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2564,198844,collectd-mod-acksys-telemetry,5.5.3-1,cpe:2.3:a:collectd-mod-acksys-telemetry:collectd-mod-acksys-telemetry:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2565,198845,collectd-mod-gps,5.5.3-1,cpe:2.3:a:collectd-mod-gps:collectd-mod-gps:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2566,198846,collectd-mod-iptables,5.5.3-1,cpe:2.3:a:collectd-mod-iptables:collectd-mod-iptables:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2567,198847,collectd-mod-iwinfo,5.5.3-1,cpe:2.3:a:collectd-mod-iwinfo:collectd-mod-iwinfo:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2568,198848,collectd-mod-netlink,5.5.3-1,cpe:2.3:a:collectd-mod-netlink:collectd-mod-netlink:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2569,198849,collectd-mod-rrdtool,5.5.3-1,cpe:2.3:a:collectd-mod-rrdtool:collectd-mod-rrdtool:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2570,198850,collectd-mod-syslog,5.5.3-1,cpe:2.3:a:collectd-mod-syslog:collectd-mod-syslog:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2571,198851,collectd-mod-ubus-telemetry,5.5.3-1,cpe:2.3:a:collectd-mod-ubus-telemetry:collectd-mod-ubus-telemetry:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2572,198852,collectd-mod-wireless,5.5.3-1,cpe:2.3:a:collectd-mod-wireless:collectd-mod-wireless:5.5.3-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,collectd,5.5.3,NOT_REQUIRED_OR_BASE_ARTIFACT,PLUGIN_OR_MODULE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2573,198853,collectd,5.5.3-1,cpe:2.3:a:collectd:collectd:5.5.3-1:*:*:*:*:*:*:*,cpe:2.3:a:collectd:collectd:5.5.3:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,collectd,5.5.3,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2574,198854,confuse,3.2.1-1,cpe:2.3:a:confuse:confuse:3.2.1-1:*:*:*:*:*:*:*,cpe:2.3:a:libconfuse_project:libconfuse:3.2.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,libConfuse,3.2.1,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2575,198855,conntrack,2017-09-27-eefe649c-1,cpe:2.3:a:conntrack:conntrack:2017-09-27-eefe649c-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,conntrack-tools,2017-09-27-eefe649c,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2576,198856,conntrackd,2017-09-27-eefe649c-1,cpe:2.3:a:conntrackd:conntrackd:2017-09-27-eefe649c-1:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:conntrack-tools:1.4.4:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,conntrack-tools,1.4.4,DIRECT_SOURCE_DECLARATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2577,198857,curl,8.19.0-1,cpe:2.3:a:curl:curl:8.19.0-1:*:*:*:*:*:*:*,cpe:2.3:a:haxx:curl:8.19.0:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,curl,8.19.0,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2578,198858,ddns-scripts-services,2.8.2-24,cpe:2.3:a:ddns-scripts-services:ddns-scripts-services:2.8.2-24:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,ddns-scripts,2.8.2,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,DERIVED_OR_SUBCOMPONENT
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2579,198859,ddns-scripts,2.8.2-24,cpe:2.3:a:ddns-scripts:ddns-scripts:2.8.2-24:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,ddns-scripts,2.8.2,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2580,198860,dnsmasq,2.92-2,cpe:2.3:a:dnsmasq:dnsmasq:2.92-2:*:*:*:*:*:*:*,cpe:2.3:a:thekelleys:dnsmasq:2.92:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,dnsmasq,2.92,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2581,198861,dropbear,2024.85-1,cpe:2.3:a:dropbear:dropbear:2024.85-1:*:*:*:*:*:*:*,cpe:2.3:a:dropbear_ssh_project:dropbear_ssh:2024.85:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,true,Dropbear SSH,2024.85,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2582,198862,ethtool,4.15-1,cpe:2.3:a:ethtool:ethtool:4.15-1:*:*:*:*:*:*:*,cpe:2.3:a:kernel:ethtool:4.15:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,ethtool,4.15,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2583,198863,file,5.25-2,cpe:2.3:a:file:file:5.25-2:*:*:*:*:*:*:*,cpe:2.3:a:file_project:file:5.25:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,true,file,5.25,DETERMINISTIC_PACKAGE_NORMALIZATION,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2584,198864,firewall,2018-07-26-aa8846bb-1,cpe:2.3:a:firewall:firewall:2018-07-26-aa8846bb-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,firewall3,2018-07-26-aa8846bb,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
ACKSYS,"AirBox LTE, AirWan, AirWan-M12, EmbedAir1000 LTE",4.36.1.1,1362,2585,198865,fstools,2018-04-16-e2436836-1,cpe:2.3:a:fstools:fstools:2018-04-16-e2436836-1:*:*:*:*:*:*:*,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,false,fstools,2018-04-16-e2436836,NOT_REQUIRED_OR_BASE_ARTIFACT,PRODUCT_REPRESENTATIVE,REPRESENTATIVE
