cpe_name_id,raw_cpe,version,update,status,deprecated,deprecated_by,attribute_pattern,prerelease_token_location,prerelease_token,same_version_generic_update_cpe
80b6cadd-eb99-4fdc-919c-99fde0053d5e,cpe:2.3:a:w1.fi:wpa_supplicant:0.7.1:*:*:*:*:*:*:*,0.7.1,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
79b1fc01-b98b-4541-a943-3a3fc689282e,cpe:2.3:a:w1.fi:wpa_supplicant:0.7.2:*:*:*:*:*:*:*,0.7.2,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
7aed57c6-6e4f-4216-97b7-15751d6b51b0,cpe:2.3:a:w1.fi:wpa_supplicant:0.72:*:*:*:*:*:*:*,0.72,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
65674034-23bf-4075-ae2b-971650ed5fc7,cpe:2.3:a:w1.fi:wpa_supplicant:0.7.3:*:*:*:*:*:*:*,0.7.3,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
d34558af-8095-4910-b3a3-0fd6cc869766,cpe:2.3:a:w1.fi:wpa_supplicant:1.0:*:*:*:*:*:*:*,1.0,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
33f7d108-2cde-4a99-a1ea-2388fc90cb38,cpe:2.3:a:w1.fi:wpa_supplicant:1.1:*:*:*:*:*:*:*,1.1,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
3787db8d-86d8-4e66-ac9e-f343d3bb8ebb,cpe:2.3:a:w1.fi:wpa_supplicant:2.0:*:*:*:*:*:*:*,2.0,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
63687f06-259e-4922-90bc-16b3601e23d8,cpe:2.3:a:w1.fi:wpa_supplicant:2.0-16:*:*:*:*:*:*:*,2.0-16,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
69cadc67-e89a-4600-9544-5265485b0019,cpe:2.3:a:w1.fi:wpa_supplicant:2.1:*:*:*:*:*:*:*,2.1,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
7addfd4a-7c1e-4696-bf57-307e3c9162d6,cpe:2.3:a:w1.fi:wpa_supplicant:2.10:*:*:*:*:*:*:*,2.10,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
e7ed8502-286e-49bb-a517-8ea510e6c7d1,cpe:2.3:a:w1.fi:wpa_supplicant:2.2:*:*:*:*:*:*:*,2.2,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
c87bf061-2461-455f-8aaf-9effdbdae105,cpe:2.3:a:w1.fi:wpa_supplicant:2.3:*:*:*:*:*:*:*,2.3,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
ec0ec087-1fdd-4d59-a641-8053709fe465,cpe:2.3:a:w1.fi:wpa_supplicant:2.4:*:*:*:*:*:*:*,2.4,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
e57317cc-1944-4f93-9bd2-f88a45d692c7,cpe:2.3:a:w1.fi:wpa_supplicant:2.5:*:*:*:*:*:*:*,2.5,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
82dfbd1d-4bbf-4711-8e00-ac992d201e27,cpe:2.3:a:w1.fi:wpa_supplicant:2.6:*:*:*:*:*:*:*,2.6,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
6dcda77d-02cc-4875-9f49-cdd88cd07f98,cpe:2.3:a:w1.fi:wpa_supplicant:2.7:*:*:*:*:*:*:*,2.7,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
fa8a5706-6968-45e5-b12c-34c8a7212040,cpe:2.3:a:w1.fi:wpa_supplicant:2.8:*:*:*:*:*:*:*,2.8,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
5f7a44e8-2aee-4263-a065-539b7c8694d5,cpe:2.3:a:w1.fi:wpa_supplicant:2.9:*:*:*:*:*:*:*,2.9,*,ACTIVE,false,[],GENERIC_UPDATE_ANY,,,
